Region;Dep;Commune;Porteur_projet;annee_sub;Projet;n°SES;Montant_op;Montant_acc;Objectifs
Alsace;68;Mulhouse;Mulhouse Alsace Agglomération;2015;Rénovation de la patinoire de Mulhouse;13346;2466555;450000;Territoires carencés
Aquitaine;24;Bergerac;Commune de Bergerac;2015;Construction d'un stade d'athlétisme;13534;3095000;400000;Territoires carencés
Aquitaine;33;Lormont;Commune de Lormont;2015;Construction d'une salle spécialisée de gymnastique à Ladoumègue;13429;1874857;250000;Territoires carencés
Aquitaine;47;Marmande;Commune de Marmande;2015;Rénovation de la piste d'athlétisme du stade Georges Dartiailh ;13681;728060;100000;Territoires carencés
Aquitaine;64;Saint-Jean-Pied-de-Port;Communauté de Communes de Garazi;2015;Construction d'une piscine;13684;5000000;700000;Territoires carencés
Auvergne;3;Yzeure;Moulins Communauté;2015;Réalisation d'un complexe multisports communautaire - 2ème tranche (salle de badminton et de tennis de table);13811;1518000;280000;Territoires carencés
Auvergne;63;Ambert;Communauté de Communes du Pays d'Ambert;2015;Rénovation de la piscine des 3 Chênes à Ambert;13847;3500000;400000;Territoires carencés
Basse Normandie;14;Caen;ASPTT CAEN;2015;Achat d'un ULM motorisé;13860;147000;29000;Territoires carencés
Bourgogne;21;Dijon;Communauté dAgglomération du Grand Dijon;2015;Démolition et reconstruction de la piscine du Carrousel;13865;19020239;800000;Territoires carencés
Bourgogne;71;Mâcon ;Commune de Mâcon;2015;Construction dun stade d'athlétisme à la Grisière;13866;5000000;500000;Territoires carencés
Bretagne;35;Saint-Sulpice-des-Landes;Comité Régional de Vol à Voile de Bretagne;2015;Acquisition d'un ulm ;13564;83000;15000;Territoires carencés
Bretagne;35;Rennes;Commune de Rennes;2015;Création d'un bassin  olympique extérieur;13841;5004167;850000;Territoires carencés
Centre;41;Vendôme;Communauté de Communes du Pays de Vendôme;2015;Création d'un centre aquatique;13643;12370150;800000;Territoires carencés
Champagne-Ardenne;51;Fagnières;Communauté d'Agglomération de Châlons-en-Champagne;2015;Création d'un pôle aquatique communautaire;13673;11208329;700000;Territoires carencés
Champagne-Ardenne;51;Fagnières;Commune de Fagnières;2015;Création d'une piste BMX de compétition;13790;210905;40000;Territoires carencés
Corse;2A;Porto-Vecchio ;Commune de Porto-Vecchio;2015;Restructuration et extension du COSEC;13717;5798460;1100000;Territoires carencés
Franche Comté;25;Besançon;Besançon Tennis Club;2015;Restructuration du tennis club;13623;1080412;120000;Territoires carencés
Guadeloupe;971;Grand-Bourg;Commune de Grand-Bourg;2015;Construction d'un plateau sportif couvert;13868;835200;220000;Territoires carencés
Guadeloupe;971;Le Gosier;Ligue de Tir à l'Arc ;2015;Rénovation des équipements de la Ligue de Tir à l'Arc;13871;277762;78000;Territoires carencés
Guyane;973;Matoury;Commune de Matoury;2015;Couverture du plateau multisports de Cogneau Lamirande;13854;228800;150000;Territoires carencés
Guyane;973;Cayenne;Comité Régional de Natation;2015;Acquisition de bassins mobiles hors sol;13859;134444;100000;Territoires carencés
Haute Normandie;76;Darnetal;Commune de Darnetal;2015;Extension et rénovation du complexe sportif Ferry ;13869;2668775;500000;Territoires carencés
Ile de France;92;Antony;Communauté d'Agglomération Les Hauts-de-Bièvre;2015;Construction du centre aquatique des Iris;13809;13344487;800000;Territoires carencés
Ile de France;93;Le Blanc-Mesnil;Commune du Blanc-Mesnil;2015;Réhabilitation et extension de la piscine Henri Wallon;13298;6607068;600000;Territoires carencés
Ile de France;93;Rosny-sous-Bois;Commune de Rosny-sous-Bois;2015;Réhabilitation du centre aquatique et sportif Claude Bernard;13302;9186662;700000;Territoires carencés
Ile de France;95;Beaumont-sur-Oise;Communauté de Communes du Haut Val d'Oise;2015;Construction d'une piscine intercommunale;13628;9860000;600000;Territoires carencés
Languedoc-Roussillon;30;Saint-Gilles;Commune de Saint-Gilles;2015;Réhabilitation de la halle des sports Georges Chouleur;13826;1397907;250000;Territoires carencés
Limousin;19;Objat;Commune d'Objat;2015;Extension-réhabilitation du Centre Aqua Récréatif et création dune éco-piscine ;13857;5800000;700000;Territoires carencés
Limousin;87;Limoges;Elan Sportif et Elfes de Limoges;2015;Agrandissement de la salle de gymnastique;13855;573720;110000;Territoires carencés
Lorraine;57;Basse-Ham;Commune de Basse-Ham;2015;Construction d'un gymnase;13508;5100000;500000;Territoires carencés
Lorraine;57;Basse-Ham;Communauté d'Agglomération Portes de France-Thionville;2015;Construction d'un centre aquatique intercommunautaire;13544;14000000;750000;Territoires carencés
Martinique;972;Sainte-Marie;Commune de Sainte-Marie;2015;Réhabilitation du stade Louis Xercès de Sainte-Marie;13703;7620930;700000;Territoires carencés
Martinique;972;Saint-Esprit;Communaute d'Agglomération de l'Espace Sud Martinique;2015;Construction d'une piscine communautaire;13711;4020000;700000;Territoires carencés
Mayotte;985;Tsingoni;Commune de Tsingoni;2015;Construction d'une tribune, de vestiaires-sanitaires et locaux techniques;13895;241000;48000;Territoires carencés
Mayotte;985;Sada;Commune de Sada;2015;Construction de vestiaires-sanitaires et locaux techniques;13896;776666;310000;Territoires carencés
Midi-Pyrénées;65;Lourdes;Communauté de Communes du Pays de Lourdes;2015;Reconstruction de la piscine communautaire;13617;7552770;700000;Territoires carencés
Midi-Pyrénées;82;Montauban;Association Aéroclub Montalbanais;2015;Achat d'un avion Robin DR 401 quadriplace;13625;255354;33000;Territoires carencés
Nord Pas-de-Calais;59;Estaires;Communauté de Communes Flandres Lys;2015;Construction d'un centre aquatique intercommunal;13593;12405093;500000;Territoires carencés
Nord Pas-de-Calais;59;La Madeleine;Commune de La Madeleine;2015;Construction d'un pôle de sports de raquettes;13600;8174614;500000;Territoires carencés
Nord Pas-de-Calais;59;Douchy-les-Mines;Commune de Douchy-les-Mines;2015;Réalisation d'une piste et des aires d'athlétisme;13693;1298322;140000;Territoires carencés
Nord Pas-de-Calais;62;Calais;Commune de Calais;2015;Construction d'une piste BMX de niveau international;13433;673738;130000;Territoires carencés
PACA;4;Seyne-les-Alpes;Communauté de Communes du Pays de Seyne;2015;Construction du gymnase du Pays de Seyne;13554;2520000;400000;Territoires carencés
PACA;5;Embrun;Communauté de Communes de lEmbrunais;2015;Réhabilitation du centre aquatique communautaire de lEmbrunais;13713;6736000;700000;Territoires carencés
PACA;6;Saint-Martin-Vésubie;Syndicat Mixte pour le Développement de la  Vésubie et du Valdeblore;2015;Construction d'un pôle de sports de montagne;13377;26065649;500000;Territoires carencés
PACA;6;Carros;Commune de Carros;2015;Rénovation de la structure artificielle d'escalade et du sol sportif du gymnase Le Planet;13745;108464;21000;Territoires carencés
PACA;84;Avignon;Commune d'Avignon;2015;Rénovation de la salle Roland Montet;13791;380000;67000;Territoires carencés
Pays de la Loire;44;Châteaubriant;Commune de Châteaubriant*;2015;Création d'un dojo;13224;2165425;400000;Territoires carencés
Pays de la Loire;44;Saint-Nazaire;Communauté d'Agglomération de la Région Nazairienne et de l'Estuaire (CARENE);2015;Création d'un centre aquatique;13455;22968523;800000;Territoires carencés
Pays de la Loire;72;Le Mans;Commune du Mans;2015;Rénovation du centre aquatique Les Atlantides;13471;1000000;200000;Territoires carencés
Pays de la Loire;85;Luçon;Communauté de Communes du Pays né de la Mer;2015;Construction d'un espace aquatique;13642;8216333;700000;Territoires carencés
Picardie;60;Compiègne;Commune de Compiègne;2015;Mise aux normes et réhabilitation de la patinoire ;13478;1385169;270000;Territoires carencés
Picardie;60;Creil;Commune de Creil;2015;Création et rénovation de terrains de tennis;13760;3307500;300000;Territoires carencés
Poitou-Charentes;86;Loudun;Communauté de Communes du Pays Loudunais;2015;Construction d'un centre aquatique;13819;8500000;700000;Territoires carencés
Rhône-Alpes;38;Eybens;Comité Départemental Olympique et Sportif de l'Isère;2015;Acquisition d'une structure d'escalade mobile;13768;181814;36000;Territoires carencés
Rhône-Alpes;69;Pierre-Bénite ;Commune de Pierre-Bénite;2015;Extension du dojo municipal;13366;543500;97000;Territoires carencés
Rhône-Alpes;69;Lyon;Club de Canoë Kayak Lyon Oullins La Mulatière (CKLOM);2015;Création d'une base nautique;13772;1173201;200000;Territoires carencés
Rhône-Alpes;69;Villeurbanne;Commune de Villeurbanne;2015;Restructuration du complexe sportif Saint-Jean et création dun fronton de pelote basque;13773;242500;48000;Territoires carencés
Rhône-Alpes;73;Les Échelles ;Syndicat Intercommunal des Sports;2015;Création de la piscine naturelle et sportive de la Vallée de Chartreuse;13532;1561018;150000;Territoires carencés
Saint Pierre et Miquelon;975;Saint-Pierre;Association Sportive Ilienne Amateurs;2015;Aménagement du stade John Girardin ;13870;357126;165000;Territoires carencés
Wallis et Futuna;986;UVEA;Commune de UVEA;2015;Travaux de réhabilitation de la Halle KAFIKA ;13897;220000;220000;Territoires carencés
CENTRE;36;Déols;Fédération Française de Tir;2015;Création du Centre National de Tir Sportif à Châteauroux-Déols;13705;25824640;3000000;Equipements dintérêt national
ILE-DE-FRANCE;94;Créteil;Fédération Française de Handball;2015;Construction de la Maison Nationale du Handball;13527;41020697;6000000;Equipements dintérêt national
ILE-DE-FRANCE;94;Nogent-sur-Marne;Fédération Française d'Aviron;2015;Achat de bateaux d'aviron de compétition et d'avirons;13707;384392;115000;Equipements dintérêt national
ILE-DE-FRANCE;94;Saint-Maur-des-Fossés;Fédération Française de Squash;2015;Achat de courts vitrés démontables de squash;13674;344252;100000;Equipements dintérêt national
LA REUNION;974;Saint-Paul;Commune de Saint-Paul;2015;"Filets de protection ""risque requin""";13898;3986166;285000;Equipements dintérêt national
MIDI-PYRENNES;31;Tournefeuille;Commune de Tournefeuille;2015;Création d'une structure d'escalade de niveau international - gymnase de Quéfets à Tournefeuille;13712;1620100;240000;Equipements dintérêt national
RHONE-ALPES;73;Albertville;Commune d'Albertville;2015;Acquisition de matériel lourd pour le Centre National de Ski de Haut Niveau (C.N.S.H.N);13725;892110;260000;Equipements dintérêt national
AUVERGNE;43;Le Puy-en-Velay;Commune du Puy-en-Velay;2015;Création de sanitaires accessibles aux personnes à mobilité réduite au centre équestre de Guitard;13752;26106;13000;Mise en accessibilité
AUVERGNE;63;Clermont-Ferrand;Association Sportive Montferrandaise;2015;Acquisition d'un minibus aménagé pour personnes à mobilité réduite;13799;56069;15000;Acquisition de véhicules adaptés
AUVERGNE;63;Tallende;SIVOM de Saint-Amant-Tallende-Saint-Saturnin;2015;Travaux de mise en accessibilité du stade de football;13845;55000;3900;Mise en accessibilité
BOURGOGNE;21;Dijon;DFCO foot fauteuil;2015;Acquisition d'un minibus aménagé pour le transport des personnes handicapées;13853;60933;15000;Acquisition de véhicules adaptés
BOURGOGNE;21;Nuits-Saint-Georges;Club Sportif Nuiton;2015;Restructuration d'une salle d'entraînement et de musculation pour le rugby fauteuil;13485;253920;50000;Mise en accessibilité
BRETAGNE;22;Ploufragan;Comité Départemental Handisport Côtes d'Armor;2015;Acquisition d'un minibus aménagé pour le transport des personnes handicapées;13842;17147;8000;Acquisition de véhicules adaptés
BRETAGNE;56;La  Roche-Bernard;"Association ""Loisirs temps libre""";2015;Acquisition de dériveurs doubles autoredressables et insubmersibles;13766;15000;3000;Acquisition de matériels adaptés
BRETAGNE;56;Questembert;Commune de questembert;2015;"Mise en accessibilité du complexe sportifs ""Les Buttes""";13723;127220;25000;Mise en accessibilité
BRETAGNE;56;Vannes;Comité Départemental Sport Adapté Morbihan;2015;Acquisition d'un véhicule pour le sport adapté;13823;21346;10000;Acquisition de véhicules adaptés
CENTRE;41;Ouzouer-le-Marché;Communauté de Communes Beauce Oratorienne;2015;Mise en accessibilité de la piscine;13872;212474;26000;Mise en accessibilité
CHAMPAGNE-ARDENNE;10;Nogent-sur-Seine;Neptune Club Nogentais;2015;Acquisition d'une potence soulève personne et d'une rampe d'accès pour équiper un bateau ponton adapté;13729;0;1600;Acquisition de matériels adaptés
CHAMPAGNE-ARDENNE;10;Troyes;Comité Départemental Handisport de l'Aube;2015;Acquisition d'un minibus aménagé pour le transport des personnes handicapées;13738;14000;2800;Acquisition de véhicules adaptés
CHAMPAGNE-ARDENNE;10;Troyes;Ville de Troyes;2015;Acquisition d'un appareil de mise à l'eau pour la piscine des Chartreux;13770;9469;1800;Acquisition de matériels adaptés
CHAMPAGNE-ARDENNE;51;Reims;Reims Europe Club;2015;Mise en accessibilité des vestiaires et des sanitaires;13776;28965;5700;Mise en accessibilité
ILE-DE-France;75;Paris;Association du tennis club du 16ème;2015;Rénovation des cours de tennis;13449;1055000;20000;Mise en accessibilité
ILE-DE-France;75;Paris;Fédération Française Handisport;2015;Acquistion de deux véhicules de transport pour le Pôle France;13820;62900;30000;Acquisition de véhicules adaptés
ILE-DE-France;77;Bailly Romainvilliers;SAN Val d'Europe;2015;Travaux de mise en accessibilité du complexe tennistique;13632;58876;8800;Mise en accessibilité
ILE-DE-France;92;Boulogne Billancourt;Commune de Boulogne Billancourt;2015;Mise en accessibilité du complexe sportif Le Gallo;13801;850000;160000;Mise en accessibilité
ILE-DE-France;92;Meudon;Standard Athletic Club;2015;Mise en accessibilité du complexe sportif du Meudon A.S Standard Athlétic Club ;13655;1104800;73000;Mise en accessibilité
ILE-DE-France;93;Rosny-sous-Bois;Commune de Rosny-sous-Bois;2015;Réhabilitation du centre nautique et sportif Claude Bernard;13302;9186662;11000;Mise en accessibilité
ILE-DE-France;94;Orly;Commune d'Orly;2015;Travaux de réhabilitation au stade de football Georges Meliès;13836;144900;28000;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;2015;Travaux de mise en accessibilité de la piscine A.Nakache;13848;186575;55900;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;2015;Travaux de mise en accessiblité de la piscine M.Spilliaert;13852;207189;62000;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;2015;Mise en accessibilité de la piscine Pitot;13867;20483;8000;Mise en accessibilité
LORRAINE;88;Xertigny;Syndicat Intercommunal du secteur scolaire de Xertigny;2015;Mise en accessibilité et réhabilitation du gymnase;13436;136152;27000;Mise en accessibilité
MIDI-PYRENEES;65;Laloubère;Commune de Laloubère;2015;Mise en accessibilité du gymnase de Laloubère;13795;81400;16000;Mise en accessibilité
MIDI-PYRENEES;81;Castres;Commune de Castres;2015;Réhabilitation du gymnase de la Savonnerie;13496;375000;13000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessibilité de la salle de sports Paul Bert;13789;23727;11000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessibilité du Palais des sports;13797;27082;13000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessibilité de la salle des sports Paul Sautière;13798;31152;15000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessilité de la salle des sports Coubertin;13800;27929;13000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessibilité de la salle des sports des Tullistes;13813;18612;9000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Maubeuge;Commune de Maubeuge;2015;Mise en accessibilité de la salle Pierre Louis Fresnel;13788;184900;73000;Mise en accessibilité
NORD-PAS-DE-CALAIS;62;Beuvry;Commune de Beuvry;2015;Mise en accessibilité de la salle du dojo;13814;25800;5000;Mise en accessibilité
PAYS-DE-LA-LOIRE;85;Moutournais;Commune de Moutournais;2015;Mise en accessibilité de la salle de sport de Moutournais;13661;11588;4600;Mise en accessibilité
POITOU-CHARENTES;79;Niort;ASN Basket Ball;2015;Acquisition d'un minibus avec aménagement pour personnes handicapées;13718;80254;15000;Acquisition de véhicules adaptés
PROVENCE-ALPES-COTE-D'AZUR;5;Gap;Comité Départemental de Sport Adapté 05;2015;Acquisition dun minibus;13784;27550;5500;Acquisition de véhicules adaptés
PROVENCE-ALPES-COTE-D'AZUR;5;Gap;Association Art'Club Sport;2015;Acquisition dun module de gymnastique adapté;13786;12210;2400;Acquisition de matériels adaptés
RHONE-ALPES;69;Irigny;Commune d'Irigny;2015;Mise en accessibilité du stade de football;13862;1686522;75000;Mise en accessibilité
RHONE-ALPES;73;Chambéry;Comité Départemental Sport Adapté Savoie;2015;Acquisition d'un véhicule pour le sport adapté;13588;34377;6800;Acquisition de véhicules adaptés
RHONE-ALPES;73;Chambéry;Comité Départemental Handisport Savoie;2015;Acquisition d'un minibus équipé pour les personnes à mobilité réduite;13647;26936;13000;Acquisition de véhicules adaptés
WALLIS-ET-FUTUNA;986;Uvéa;Association Vakala;2015;Acquisition de matériel destiné aux personnes à mobilité réduite;13876;9153;9000;Acquisition de matériels adaptés
PACA;6;Vallauris ;Commune de Vallauris-Golfe-Juan;2015;Réfection d'un terrain de football synthétique du stade municipal suite aux intempéries du 3 au 4 octobre 2015;13917;0;220000;Rénovation des équipements sinistrés
PACA;6;Le Cannet;Commune du Cannet;2015;Remise en état du gymnase Maillan suite aux intempéries du 3 au 4 octobre 2015;13919;0;30000;Rénovation des équipements sinistrés
PACA;6;Mandelieu-La Napoule;Commune de Mandelieu-La Napoule;2015;Reconstruction  du Tennis-Club de l'Argentière détruit suite aux intempéries du 3 au 4 octobre 2015;13918;0;16000;Rénovation des équipements sinistrés
CORSE;2A;Pietrosella;Commune de Pietrosella;2015;création d'une halle des sports;13812;4900000;792439;Politique contractuelle
BRETAGNE;35;Dinard;Campus de lExcellence sportive de Bretagne (GIP);2015;Rénovation et mise aux normes d'accessibilité et sécurité du batiment Michelet;13875;931386;180000;Politique contractuelle
NOUVELLE CALEDONIE;988;NOUMEA;Commune de Nouméa;2015;Pôle sportif du quartier de Montravel - Plateau multisports de proximité (phase 1);13878;264022;97688;Politique contractuelle
PAYS DE LA LOIRE;85;La Faute-sur-Mer;Commune de la Faute sur Mer;2015;Construction d'un terrain de golf 9 trous;13641;1555000;310000;Politique contractuelle
NORD-PAS-DE-CALAIS;59;Villeneuve-d'Ascq;Métropole Européenne de Lille;2015;Rénovation lourde du complexe annexe du Stadium de Villeneuve d'Ascq;13756;3000000;600000;Politique contractuelle
